,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
467,1630243,"Queen, Trevelin",Trevelin Queen,1,2021,2021,trevelin_queen,trevelin_queen,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,11
468,1629674,"Queta, Neemias",Neemias Queta,1,2021,2021,neemias_queta,neemias_queta,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11
469,1630193,"Quickley, Immanuel",Immanuel Quickley,1,2020,2021,immanuel_quickley,immanuel_quickley,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
471,203944,"Randle, Julius",Julius Randle,1,2014,2021,julius_randle,julius_randle,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
472,1630559,"Reaves, Austin",Austin Reaves,1,2021,2021,austin_reaves,austin_reaves,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
473,1629629,"Reddish, Cam",Cam Reddish,1,2019,2021,cameron_reddish,cam_reddish,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
474,1628432,"Reed, Davon",Davon Reed,1,2017,2021,davon_reed,davon_reed,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,01
475,1630194,"Reed, Paul",Paul Reed,1,2020,2021,paul_reed,paul_reed,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
476,1629675,"Reid, Naz",Naz Reid,1,2019,2021,naz_reid,naz_reid,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
477,1630208,"Richards, Nick",Nick Richards,1,2020,2021,nick_richards,nick_richards,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01
478,1626196,"Richardson, Josh",Josh Richardson,1,2015,2021,josh_richardson,josh_richardson,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
479,203085,"Rivers, Austin",Austin Rivers,1,2012,2021,austin_rivers,austin_rivers,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
480,1629130,"Robinson, Duncan",Duncan Robinson,1,2018,2021,duncan_robinson,duncan_robinson,1610612748,Miami,Heat,MIA,heat,heat,Y,01
482,1629011,"Robinson, Mitchell",Mitchell Robinson,1,2018,2021,mitchell_robinson,mitchell_robinson,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
483,1630526,"Robinson-Earl, Jeremiah",Jeremiah Robinson-Earl,1,2021,2021,tmp_jeremiah_robinson-earl,jeremiah_robinson-earl,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11
484,1629676,"Roby, Isaiah",Isaiah Roby,1,2019,2021,roby_isaiah,isaiah_roby,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11
485,200765,"Rondo, Rajon",Rajon Rondo,1,2006,2021,rajon_rondo,rajon_rondo,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
486,201565,"Rose, Derrick",Derrick Rose,1,2008,2021,derrick_rose,derrick_rose,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
